# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|17|031|0052|88101|1|7|105|120|19980618|00:00|22.0||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980619|00:00|9.7||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980620|00:00|16.7||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980621|00:00|13.7||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980622|00:00|13.3||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980623|00:00|15.7||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980624|00:00|25.4||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980625|00:00|21.3||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980626|00:00|15.6||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980627|00:00|21.4||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980628|00:00|10.7||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980629|00:00|14.6||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980630|00:00|9.1||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980701|00:00|22.1||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980702|00:00|25.7||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980703|00:00|21.6||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980704|00:00|15.1||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980705|00:00|8.2||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980706|00:00|24.4||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980707|00:00|18.8||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980708|00:00|14.7||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980709|00:00|25.4||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980710|00:00|18.2||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980711|00:00|13.5||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980712|00:00|19.8||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980713|00:00|30.3||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980714|00:00|41.4||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980715|00:00|32.6||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980722|00:00|9.8||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980723|00:00|13.7||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980724|00:00|8.5||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980725|00:00|11.3||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980726|00:00|11.6||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980727|00:00|25.2||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980728|00:00|6.6||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980729|00:00|16.0||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980730|00:00|16.8||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980731|00:00|13.9||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980801|00:00|11.8||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980802|00:00|11.6||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980803|00:00|39.9||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980804|00:00|16.0||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980812|00:00|20.7||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980813|00:00|22.9||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980814|00:00|28.4||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980815|00:00|14.8||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980816|00:00|16.4||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980817|00:00|29.0||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980818|00:00|8.8||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980819|00:00|16.0||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980820|00:00|24.4||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980821|00:00|31.2||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980822|00:00|21.3||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980823|00:00|39.6||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980824|00:00|23.4||1|||||||||||||
